timestamp,strategy,n_eligible,n_busy,n_pass_long,n_pass_short,n_score_cut,n_candidates,top_long_blocker,top_long_blocker_n,top_short_blocker,top_short_blocker_n,long_blockers,short_blockers
2026-09-04T19:45:43Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T19:45:43Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:51:17Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:51:17Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:51:17Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:51:17Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:52:28Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:52:28Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:52:28Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:52:28Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:53:40Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:53:40Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:53:40Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:53:40Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:54:41Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:54:41Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:54:41Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:54:41Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:55:53Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:55:53Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:55:53Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:55:53Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:57:04Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:57:04Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:57:04Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:57:04Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:58:15Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:58:15Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:58:15Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,5,ret_30m<=7,ret_30m>=5;ema_spread>=2
2026-09-04T19:58:15Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:59:25Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:59:25Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:59:25Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,5,ret_30m<=7,ret_30m>=5;ema_spread>=2
2026-09-04T19:59:25Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T20:04:17Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:04:17Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:04:17Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T20:04:17Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:05:27Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:05:27Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:05:27Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
